
2024/06/07 (20:07:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/07 (21:11:10) | ===> btop++ v.1.3.2
2024/06/07 (21:11:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/09 (20:07:02) | ===> btop++ v.1.3.2
2024/06/09 (20:07:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/09 (21:54:11) | ===> btop++ v.1.3.2
2024/06/09 (21:54:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/10 (14:15:53) | ===> btop++ v.1.3.2
2024/06/10 (14:15:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/14 (14:21:34) | ===> btop++ v.1.3.2
2024/06/14 (14:21:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/06/14 (14:22:12) | ERROR: Stall in Runner thread, restarting!

2024/06/14 (21:33:49) | ===> btop++ v.1.3.2
2024/06/14 (21:33:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/14 (21:51:03) | ===> btop++ v.1.3.2
2024/06/14 (21:51:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/14 (21:51:09) | ===> btop++ v.1.3.2
2024/06/14 (21:51:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/14 (21:54:44) | ===> btop++ v.1.3.2
2024/06/14 (21:54:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/14 (22:05:37) | ===> btop++ v.1.3.2
2024/06/14 (22:05:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/14 (22:06:11) | ===> btop++ v.1.3.2
2024/06/14 (22:06:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/15 (22:46:57) | ===> btop++ v.1.3.2
2024/06/15 (22:46:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/16 (14:27:40) | ===> btop++ v.1.3.2
2024/06/16 (14:27:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/16 (21:27:54) | ===> btop++ v.1.3.2
2024/06/16 (21:27:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/16 (21:29:15) | ===> btop++ v.1.3.2
2024/06/16 (21:29:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/17 (16:12:12) | ===> btop++ v.1.3.2
2024/06/17 (16:12:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/18 (22:14:52) | ===> btop++ v.1.3.2
2024/06/18 (22:14:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/18 (22:15:19) | ===> btop++ v.1.3.2
2024/06/18 (22:15:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/20 (10:30:23) | ===> btop++ v.1.3.2
2024/06/20 (10:30:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/20 (10:40:50) | ===> btop++ v.1.3.2
2024/06/20 (10:40:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/28 (12:31:38) | ===> btop++ v.1.3.2
2024/06/28 (12:31:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/30 (14:15:20) | ===> btop++ v.1.3.2
2024/06/30 (14:15:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/30 (18:40:04) | ===> btop++ v.1.3.2
2024/06/30 (18:40:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:31:18) | ===> btop++ v.1.3.2
2024/07/01 (09:31:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:39:07) | ===> btop++ v.1.3.2
2024/07/01 (09:39:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:41:46) | ===> btop++ v.1.3.2
2024/07/01 (09:41:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:42:18) | ===> btop++ v.1.3.2
2024/07/01 (09:42:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:42:25) | ===> btop++ v.1.3.2
2024/07/01 (09:42:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:43:00) | ===> btop++ v.1.3.2
2024/07/01 (09:43:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:43:02) | ===> btop++ v.1.3.2
2024/07/01 (09:43:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/01 (09:43:13) | ===> btop++ v.1.3.2
2024/07/01 (09:43:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
